keyword,weight,cluster_label
method,1470.4924,0
methods,954.8962,0
device,767.454,0
apparatus,502.9318,0
compositions,476.21320000000003,0
composition,424.056,0
treatment,414.5719,0
compounds,351.8426,0
thereof,296.7578,0
preparation,293.9982,0
manufacturing,290.4384,0
use,280.4022,0
cancer,277.8664,0
inhibitors,276.4212,0
pharmaceutical,248.0913,0
soybean,246.9501,0
antibodies,240.4238,0
treating,240.1301,0
uses,234.4366,0
process,208.2897,0
cell,205.9535,0
polymer,205.8147,0
producing,204.2256,0
vehicle,192.9537,0
acid,183.6524,0
derivatives,183.0477,0
wireless,179.1979,0
protein,176.7983,0
systems,176.2546,0
high,166.5555,0
battery,166.3079,0
communication,159.0439,0
preparing,157.0172,0
production,156.9879,0
compound,155.5532,0
resin,154.0522,0
receptor,153.9515,0
material,145.9871,0
metal,144.8888,0
devices,144.6517,0
cells,143.1904,0
antibody,142.7218,0
liquid,140.552,0
gas,131.8534,0
organic,127.7523,0
optical,125.2309,0
nucleic,117.4873,0
water,116.7425,0
detection,116.1983,0
light,109.7853,0
comprising,108.8058,0
electronic,108.4876,0
coating,107.3591,0
therapeutic,103.9468,0
product,103.856,0
film,102.9013,0
display,101.5524,0
control,100.8067,0
oil,100.6394,0
therapy,99.9958,0
drug,99.6184,0
cultivar,98.3633,0
anti,97.0099,0
disease,96.3278,0
diseases,96.0616,0
materials,95.3899,0
immunotherapy,94.3103,0
plant,93.5962,0
proteins,93.3754,0
medical,91.5394,0
assembly,88.5574,0
peptide,86.9243,0
peptides,86.3616,0
machine,85.0908,0
variety,84.5392,0
modified,84.0101,0
using,83.6271,0
imaging,81.9872,0
improved,81.4411,0
fluid,81.248,0
disorders,81.1186,0
processing,80.9818,0
catalyst,80.6696,0
cosmetic,80.6208,0
image,79.9743,0
synthesis,79.8077,0
containing,79.7907,0
lithium,78.8523,0
virus,78.6441,0
aqueous,78.5275,0
fiber,78.4789,0
cancers,77.8126,0
data,77.0151,0
inhibitor,76.8221,0
agents,76.6108,0
gene,76.2264,0
electrode,75.8865,0
application,74.2924,0
structure,74.0184,0
motor,73.6863,0
signal,73.6399,0
semiconductor,71.67699999999999,0
substituted,71.6276,0
antigen,71.4717,0
low,71.287,0
binding,70.9935,0
kinase,69.9321,0
carbon,69.4101,0
delivery,69.2029,0
plants,68.7557,0
tissue,68.7325,0
transmitting,68.0971,0
sensor,67.7661,0
electrical,67.5331,0
crystal,67.3278,0
storage,66.9184,0
energy,66.7801,0
vaccine,66.74849999999999,0
cleaning,66.7074,0
products,66.6091,0
formulations,66.3524,0
polypeptides,66.0427,0
mobile,65.5164,0
hybrid,65.1665,0
corn,64.7007,0
modulators,64.6272,0
terminal,63.9865,0
fuel,63.6995,0
membrane,63.3013,0
making,63.2313,0
composite,62.995,0
tumor,62.9024,0
rna,62.9004,0
recombinant,62.81,0
analysis,62.3739,0
acids,61.907,0
reducing,61.8537,0
adhesive,61.3368,0
dna,61.0812,0
container,60.9508,0
information,60.3233,0
based,59.7049,0
encoding,59.644800000000004,0
electrolyte,59.2822,0
molecules,59.1674,0
controlling,58.8513,0
processes,57.5828,0
polymers,56.9309,0
conjugates,56.8074,0
video,56.7318,0
nanoparticles,56.6486,0
multi,56.1004,0
detecting,56.0017,0
computer,55.9222,0
management,55.1562,0
heat,54.7527,0
powder,54.7494,0
electric,54.6515,0
antimicrobial,54.4841,0
engine,54.4648,0
power,54.0853,0
particles,54.0346,0
cotton,53.5931,0
derivative,53.1887,0
integrated,52.896,0
monitoring,52.6049,0
ion,51.7628,0
forming,51.3997,0
tool,51.0753,0
improving,50.6595,0
enhanced,49.9012,0
decoding,49.6249,0
network,49.4484,0
oxide,49.2659,0
salts,49.2545,0
transmission,48.8673,0
measuring,48.7443,0
valve,48.6347,0
temperature,48.4419,0
stable,48.437,0
user,48.0896,0
glass,48.0203,0
biological,47.7695,0
porous,47.635,0
flow,47.1037,0
oral,47.0301,0
air,46.833999999999996,0
sheet,46.5869,0
active,46.4032,0
diagnosis,46.3815,0
formulation,46.352,0
thermoplastic,46.2605,0
molded,46.216,0
color,45.9049,0
fusion,45.7809,0
emitting,45.553,0
agent,44.9325,0
rubber,44.7788,0
determining,44.653,0
applications,44.6003,0
element,44.111000000000004,0
bacterial,44.080799999999996,0
injection,43.9942,0
golf,43.4166,0
pump,43.315400000000004,0
manufacture,42.8433,0
multiple,42.7953,0
crystalline,42.7247,0
printing,42.5381,0
electroluminescent,42.4614,0
module,42.3783,0
pressure,42.2202,0
copolymer,41.6874,0
solid,41.5406,0
electrochemical,41.4054,0
hair,41.2391,0
immune,41.2065,0
turbine,41.1559,0
bacteria,41.118900000000004,0
curable,40.9797,0
laser,40.5611,0
salt,40.4567,0
cellulose,40.4351,0
operating,40.1957,0
filter,40.1302,0
food,39.9673,0
variants,39.8684,0
dental,39.7913,0
particle,39.4353,0
steel,39.4019,0
article,39.3822,0
forms,38.8351,0
molecular,38.5649,0
heterocyclic,38.4116,0
combustion,38.3631,0
thermal,38.2794,0
measurement,38.1634,0
combination,38.0732,0
surface,37.9589,0
alloy,37.9369,0
flexible,37.3177,0
equipment,37.1319,0
tomato,37.0529,0
purification,36.9974,0
radio,36.417699999999996,0
polyurethane,36.3858,0
antenna,36.1634,0
amino,36.1515,0
ink,36.1182,0
polymeric,35.923700000000004,0
skin,35.9057,0
articles,35.8668,0
magnetic,35.8511,0
panel,35.698,0
solution,35.2186,0
hydrogen,35.2159,0
dosage,35.0333,0
having,35.0271,0
human,34.778,0
modular,34.6982,0
beta,34.6505,0
non,34.5214,0
implant,34.4141,0
bone,34.2819,0
yeast,33.9642,0
inhibiting,33.9033,0
chemical,33.8621,0
engineered,33.8457,0
fatty,33.5479,0
security,33.3625,0
body,33.3211,0
component,33.1536,0
ceramic,33.1512,0
blood,33.1386,0
lens,33.1226,0
